org_cd,proj_cd,proj_nm,proj_desc,cust_cd,proj_est_hrs,proj_act_hrs,proj_inv_hrs,proj_acc_hrs,proj_status,crt_by_user,upd_by_user,crt_by_ts,upd_by_ts
"QUADYSTER","JD-ADOPS","John Deere - Azure DevOps (HP)","John Deere - Azure DevOps (HP)","JD",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2021-10-26 15:17:30","2021-10-26 15:17:30"
"QUADYSTER","JD-AIPOC","John Deere - AI - POC","John Deere - AI - POC","JD",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2021-10-26 15:17:30","2021-10-26 15:17:30"
"QUADYSTER","JD-D365","John Deere - Dynamics 365","John Deere - Dynamics 365","JD",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2024-06-14 14:58:51","2024-06-14 14:58:51"
"QUADYSTER","JD-DMD","John Deere - Data Migration to Dynamics","John Deere - Data Migration to Dynamics","JD",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2023-11-06 14:13:00","2023-11-06 14:13:00"
"QUADYSTER","JD-DO-DA","John Deere - Data Organization - DA","John Deere - Data Organization - DA","JD",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2025-06-27 15:49:06","2025-06-27 15:49:06"
"QUADYSTER","JD-DOAI","John Deere - DO AI Automation","John Deere - DO AI Automation","JD",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2025-07-21 09:56:10","2025-07-21 09:56:15"
"QUADYSTER","JD-EDC","John Deere - Data Catalog","John Deere - Data Catalog","JD",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2021-10-26 15:17:30","2021-10-26 15:17:30"
"QUADYSTER","JD-EID","John Deere - Emerging Issue Detection","John Deere - Emerging Issue Detection","JD",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2023-08-29 05:12:58","2023-08-29 05:12:58"
"QUADYSTER","JD-MIFS","John Deere - Machine Insights Feature Store","John Deere - Machine Insights Feature Store","JD",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2021-10-26 15:17:30","2021-10-26 15:17:30"
"QUADYSTER","JD-MYCLOUDCONS","John Deere - MyCloud Consulting","John Deere - MyCloud Consulting","JD",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2021-10-26 15:17:30","2021-10-26 15:17:30"
"QUADYSTER","JD-MYCLOUDV2","John Deere - MyCloud V2","John Deere - MyCloud V2","JD",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2021-10-26 15:17:30","2021-10-26 15:17:30"
"QUADYSTER","JD-PLATFORM","John Deere - Power Platform","John Deere - Power Platform","JD",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2024-06-14 14:58:51","2024-06-14 14:58:51"
"QUADYSTER","JD-PP","John Deere - SA Power Payload","John Deere - SA Power Payload","JD",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2022-07-18 08:58:13","2022-07-18 08:58:19"
"QUADYSTER","JD-QUANTUM","John Deere -AI/ML/NLP/Quantum Tech Cons.","John Deere -AI/ML/NLP/Quantum Tech Cons.","JD",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2024-11-08 17:37:54","2024-11-08 17:37:54"
"QUADYSTER","JD-SESS","John Deere - Software Engineer Support Services","John Deere - Software Engineer Support Services","JD",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2024-12-19 16:01:40","2024-12-19 16:01:40"
"QUADYSTER","JD-SSECO","John Deere - Self Service Ecosystem","John Deere - Self Service Ecosystem","JD",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2021-10-26 15:17:30","2021-10-26 15:17:30"
