org_cd,proj_cd,task_cd,task_nm,task_desc,task_est_hrs,task_act_hrs,task_inv_hrs,task_acc_hrs,task_status,crt_by_user,upd_by_user,crt_by_ts,upd_by_ts
"QUADYSTER","JD-ADOPS","CONS","Consulting","Consulting",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2023-03-15 10:28:48","2023-03-15 10:28:48"
"QUADYSTER","JD-AIPOC","CONS","Consulting","Consulting",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2023-03-15 10:28:48","2023-03-15 10:28:48"
"QUADYSTER","JD-D365","CONS","Consulting","Consulting",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2024-06-14 15:00:00","2024-06-14 15:00:00"
"QUADYSTER","JD-DMD","CONS","Consulting","Consulting",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2023-11-06 14:13:57","2023-11-06 14:13:57"
"QUADYSTER","JD-DO-DA","CONS","Consulting","Consulting",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2024-12-19 16:02:21","2024-12-19 16:02:21"
"QUADYSTER","JD-DOAI","CONS","Consulting","Consulting",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2025-07-21 09:57:22","2025-07-21 09:57:22"
"QUADYSTER","JD-EDC","DEV","Development","Application Development/Support",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2021-10-26 23:33:00","2021-10-26 23:33:00"
"QUADYSTER","JD-EID","DEV","Development","Application Development/Support",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2021-10-26 23:33:00","2021-10-26 23:33:00"
"QUADYSTER","JD-MIFS","CONS","Consulting","Consulting",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2023-03-15 10:28:48","2023-03-15 10:28:48"
"QUADYSTER","JD-MYCLOUDCONS","CONS","Consulting","Consulting",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2021-10-26 23:33:00","2021-10-26 23:33:00"
"QUADYSTER","JD-MYCLOUDV2","DEV","Development","Application Development/Support",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2021-12-12 17:06:53","2021-12-12 17:06:53"
"QUADYSTER","JD-PLATFORM","CONS","Consulting","Consulting",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2024-06-14 15:00:00","2024-06-14 15:00:00"
"QUADYSTER","JD-PP","DEV","Development","Application Development/Support",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2021-10-26 23:33:00","2021-10-26 23:33:00"
"QUADYSTER","JD-QUANTUM","CONS","Consulting","Consulting",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2024-04-19 08:00:11","2024-04-19 08:00:11"
"QUADYSTER","JD-SESS","CONS","Consulting","Consulting",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2024-12-19 16:02:21","2024-12-19 16:02:21"
"QUADYSTER","JD-SSECO","DEV","Development","Application Development/Support",0.000,0.000,0.000,0.000,"ACTIVE","bninan","bninan","2021-10-26 23:33:00","2021-10-26 23:33:00"
