BRANCH_I_0000001,Central Branch,Chicago,UK,45
BRANCH_I_0000002,Lakeside Branch,Chicago,UK,40
BRANCH_I_0000003,West End Branch,London,USA,60
BRANCH_I_0000004,Central Branch,London,USA,150
BRANCH_I_0000005,City Center Branch,London,USA,60
BRANCH_I_0000006,Central Branch,Chicago,Australia,45
BRANCH_I_0000007,West End Branch,Chicago,China,70
BRANCH_I_0000008,Riverside Branch,London,USA,60
BRANCH_I_0000009,City Center Branch,Chicago,Singapore,90
BRANCH_I_0000010,Harbor Branch,New York,Singapore,60
BRANCH_I_0000011,West End Branch,Singapore,UK,90
BRANCH_I_0000012,Old Town Branch,Chicago,USA,45
BRANCH_I_0000013,City Center Branch,New York,USA,120
BRANCH_I_0000014,Lakeside Branch,Hong Kong,Australia,65
BRANCH_I_0000015,Midtown Branch,New York,USA,150
BRANCH_I_0000016,Riverside Branch,Hong Kong,USA,40
BRANCH_I_0000017,Midtown Branch,New York,UK,70
BRANCH_I_0000018,Harbor Branch,New York,Czech Republic,90
BRANCH_I_0000019,Downtown Branch,Chicago,UK,150
BRANCH_I_0000020,West End Branch,Sydney,Singapore,45
