account_id,customer_id,branch_id,account_type,currency,opened_date,status,current_balance
ACC001,CUST001,BR001,SAVINGS,USD,2020-01-10,ACTIVE,1500.75
ACC002,CUST002,BR002,CHECKING,USD,2019-06-15,ACTIVE,320.40
ACC003,CUST003,BR003,SAVINGS,USD,2021-03-01,BLOCKED,50.00
ACC004,CUST004,BR004,CREDIT,USD,2018-11-20,ACTIVE,-250.30
ACC005,CUST005,BR005,SAVINGS,GBP,2020-07-08,ACTIVE,9800.10
ACC006,CUST006,BR006,CHECKING,GBP,2019-09-25,CLOSED,0.00
ACC007,CUST007,BR007,SAVINGS,AUD,2021-02-14,ACTIVE,430.55
ACC008,CUST008,BR008,SAVINGS,SGD,2022-01-05,ACTIVE,12500.00
ACC009,CUST009,BR009,LOAN,EUR,2017-08-19,ACTIVE,-5000.00
ACC010,CUST010,BR010,CHECKING,HKD,2020-12-30,ACTIVE,3000.00
