loan_id,customer_id,account_id,principal_amount,interest_rate,start_date,end_date,status
LOAN001,CUST001,ACC001,5000.00,3.5,2020-01-15,2023-01-15,ACTIVE
LOAN002,CUST002,ACC002,8000.00,4.0,2019-07-20,2022-07-20,CLOSED
LOAN003,CUST003,ACC003,12000.00,5.0,2021-03-10,2024-03-10,ACTIVE
LOAN004,CUST004,ACC004,3000.00,6.5,2018-12-05,2021-12-05,DEFAULTED
LOAN005,CUST005,ACC005,15000.00,3.0,2020-08-12,2025-08-12,ACTIVE
LOAN006,CUST006,ACC006,7000.00,4.2,2019-10-30,2022-10-30,CLOSED
LOAN007,CUST007,ACC007,2500.00,5.5,2021-02-20,2024-02-20,ACTIVE
LOAN008,CUST008,ACC008,22000.00,3.8,2022-01-10,2027-01-10,ACTIVE
LOAN009,CUST009,ACC009,9000.00,6.0,2017-09-25,2022-09-25,CLOSED
LOAN010,CUST010,ACC010,4000.00,4.8,2020-12-31,2025-12-31,ACTIVE
