txn_id,account_id,card_id,merchant_id,txn_timestamp,amount,currency,exchange_rate,txn_type,status
TXN001,ACC001,CARD001,M001,2023-01-01 10:05:00,45.20,USD,1.0,DEBIT,POSTED
TXN002,ACC002,CARD002,M002,2023-01-02 12:15:00,120.99,USD,1.0,DEBIT,POSTED
TXN003,ACC003,CARD003,M003,2023-01-03 09:45:00,8.50,USD,1.0,DEBIT,DECLINED
TXN004,ACC004,CARD004,M004,2023-01-04 16:30:00,560.00,USD,1.0,CREDIT,POSTED
TXN005,ACC005,CARD005,M005,2023-01-05 11:00:00,75.00,GBP,1.2,DEBIT,POSTED
TXN006,ACC006,,M006,2023-01-06 14:20:00,19.99,GBP,1.2,DEBIT,PENDING
TXN007,ACC007,CARD007,,2023-01-07 18:05:00,30.00,AUD,0.7,DEBIT,POSTED
TXN008,ACC008,CARD008,M008,2023-01-08 08:40:00,90.10,SGD,0.74,DEBIT,POSTED
TXN009,ACC009,CARD009,M009,2023-01-09 20:10:00,300.00,EUR,1.1,DEBIT,REVERSED
TXN010,ACC010,CARD010,M010,2023-01-10 07:55:00,15.75,HKD,0.13,FEE,POSTED
